Region.name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Central Midlands,9.2,8.5,8.4,9.3,8.3,8.3,8.9,8.2,8.2,8.9
Cheshire and Merseyside,11.4,9.5,8.5,9.1,7.5,9.5,10.3,10.9,11.6,10.6
Cumbria and North East,11,10.2,9.9,10.6,10.3,11.8,11.1,12.9,13,10.8
East,10,8.8,10.4,8.7,9.1,10.6,8.8,10,11.3,10
Lancashire and Greater Manchester,11.5,10.6,11,12.8,11.5,11.7,11.7,11.8,11.8,10.9
London,10.9,8.4,8.7,8.4,8.4,8.4,8.3,7.4,7.8,10.4
North Midlands,8.7,8.9,8.9,9.2,9,9.1,10.1,10.3,10.5,9.3
South Central,9.3,7.6,9.2,9.6,9.6,9.7,9.7,10.6,8.6,8.4
South East,10.3,9.2,8.6,9.9,8.9,9.9,9.3,11.6,11.1,10.6
South West,11.6,9.4,10.2,11.1,10.6,11.4,11.2,11.9,12.7,10.7
Wessex,9.4,8,9.7,10.8,10.2,9.8,10.1,10.2,10,9.9
West Midlands,9.6,7.6,9.7,8.7,9,8.4,8.3,8.9,12.5,9.6
Yorkshire and Humber,9.8,9.2,10,8.8,8.2,10.1,10.4,10.9,9.9,11.6
