NHSRLO17CD,NHSRLO17NM,Ethnicity,Population,Count,Rate
E39000018,London,Asian or Asian British,1511400,26590,1759.3
E39000018,London,Black or Black British,1088600,30590,2810
E39000018,London,Mixed,405400,5900,1455.4
E39000018,London,Other,281100,20885,7429.7
E39000018,London,White,4887100,134035,2742.6
E39000025,Wessex,Asian or Asian British,84300,690,818.5
E39000025,Wessex,Black or Black British,20800,405,1947.1
E39000025,Wessex,Mixed,40900,510,1246.9
E39000025,Wessex,Other,11700,445,3803.4
E39000025,Wessex,White,2526400,69185,2738.5
E39000026,Cheshire and Merseyside,Asian or Asian British,46300,700,1511.9
E39000026,Cheshire and Merseyside,Black or Black British,17800,0,0
E39000026,Cheshire and Merseyside,Mixed,31400,0,0
E39000026,Cheshire and Merseyside,Other,11800,0,0
E39000026,Cheshire and Merseyside,White,2301600,83830,3642.2
E39000029,Yorkshire and Humber,Asian or Asian British,387300,6765,1746.7
E39000029,Yorkshire and Humber,Black or Black British,80800,0,0
E39000029,Yorkshire and Humber,Mixed,85600,1875,2190.4
E39000029,Yorkshire and Humber,Other,41100,1210,2944
E39000029,Yorkshire and Humber,White,4796000,154975,3231.3
E39000030,Central Midlands,Asian or Asian British,376600,5810,1542.8
E39000030,Central Midlands,Black or Black British,122100,2225,1822.3
E39000030,Central Midlands,Mixed,94800,1665,1756.3
E39000030,Central Midlands,Other,28800,875,3038.2
E39000030,Central Midlands,White,3752800,100850,2687.3
E39000031,East,Asian or Asian British,121000,1235,1020.7
E39000031,East,Black or Black British,56400,870,1542.6
E39000031,East,Mixed,66700,1045,1566.7
E39000031,East,Other,17000,840,4941.2
E39000031,East,White,3888600,97315,2502.6
E39000032,North Midlands,Asian or Asian British,144800,2755,1902.6
E39000032,North Midlands,Black or Black British,47700,1910,4004.2
E39000032,North Midlands,Mixed,63200,1345,2128.2
E39000032,North Midlands,Other,14900,1055,7080.5
E39000032,North Midlands,White,3263800,119705,3667.7
E39000033,West Midlands,Asian or Asian British,555300,11120,2002.5
E39000033,West Midlands,Black or Black British,171200,5140,3002.3
E39000033,West Midlands,Mixed,112600,2215,1967.1
E39000033,West Midlands,Other,45400,2035,4482.4
E39000033,West Midlands,White,3147200,96530,3067.2
E39000034,South Central,Asian or Asian British,224400,2525,1125.2
E39000034,South Central,Black or Black British,64700,1135,1754.3
E39000034,South Central,Mixed,69500,835,1201.4
E39000034,South Central,Other,17900,1600,8938.5
E39000034,South Central,White,3103000,68535,2208.7
E39000035,South East,Asian or Asian British,171100,1645,961.4
E39000035,South East,Black or Black British,49400,985,1993.9
E39000035,South East,Mixed,79900,1055,1320.4
E39000035,South East,Other,26000,935,3596.2
E39000035,South East,White,4087700,107830,2637.9
E39000036,South West,Asian or Asian British,54700,625,1142.6
E39000036,South West,Black or Black British,33600,775,2306.5
E39000036,South West,Mixed,40900,665,1625.9
E39000036,South West,Other,9400,645,6861.7
E39000036,South West,White,2952800,79685,2698.6
E39000039,Cumbria and North East,Asian or Asian British,78700,1210,1537.5
E39000039,Cumbria and North East,Black or Black British,13800,325,2355.1
E39000039,Cumbria and North East,Mixed,24900,425,1706.8
E39000039,Cumbria and North East,Other,11600,415,3577.6
E39000039,Cumbria and North East,White,2973900,103270,3472.5
E39000040,Lancashire and South Cumbria,Asian or Asian British,115000,1925,1673.9
E39000040,Lancashire and South Cumbria,Black or Black British,5400,0,0
E39000040,Lancashire and South Cumbria,Mixed,16400,300,1829.3
E39000040,Lancashire and South Cumbria,Other,4300,275,6395.3
E39000040,Lancashire and South Cumbria,White,1319900,47835,3624.1
E39000037,Greater Manchester,Asian or Asian British,272400,4855,1782.3
E39000037,Greater Manchester,Black or Black British,74300,1920,2584.1
E39000037,Greater Manchester,Mixed,61200,1205,1969
E39000037,Greater Manchester,Other,27500,1190,4327.3
E39000037,Greater Manchester,White,2280200,86415,3789.8
E39000028,Lancashire and Greater Manchester,Asian or Asian British,82400,1805,2190.53398058252
E39000028,Lancashire and Greater Manchester,Black or Black British,4476300,141580,3162.88005719009
E39000028,Lancashire and Greater Manchester,Mixed,71700,1465,2043.23570432357
E39000028,Lancashire and Greater Manchester,Other,294700,4765,1616.89854088904
E39000028,Lancashire and Greater Manchester,White,185700,3420,1841.68012924071
